Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
8.18E-08,-0.005403,3.59E-07
8.18E-08,-0.0054237,-7.45E-07
8.18E-08,-0.0057441,9.84E-07
8.18E-08,-0.0057297,-9.56E-07
8.17E-08,-0.0051396,-1.78E-06
8.19E-08,-0.0040698,-1.13E-06
8.19E-08,-0.0023433,-7.37E-07
8.18E-08,-0.0010266,-1.28E-06
8.18E-08,-0.0010163,-1.82E-06
8.18E-08,-0.0014164,-4.18E-08
8.19E-08,-0.0018741,1.83E-06
8.18E-08,-0.0021115,3.48E-07
8.18E-08,-0.0017754,-1.55E-06
8.18E-08,-0.0014076,-2.13E-08
8.18E-08,-0.0014301,-2.99E-07
8.18E-08,-0.0013955,9.31E-07
8.18E-08,-0.001113,3.68E-06
8.18E-08,-6.95E-04,4.38E-06
8.18E-08,-6.78E-05,3.95E-06
8.17E-08,6.31E-04,3.65E-06
8.18E-08,9.94E-04,2.76E-06
8.18E-08,7.97E-04,1.21E-06
8.17E-08,0.0012102,1.51E-06
8.17E-08,0.0026853,1.11E-06
8.19E-08,0.0043476,-7.34E-07
8.19E-08,0.0046918,-3.36E-06
8.19E-08,0.004465,-3.07E-06
8.19E-08,0.0042494,-3.18E-06
8.19E-08,0.0035408,-2.18E-06
8.19E-08,0.0027455,-8.17E-07
8.20E-08,0.0022274,8.08E-07
8.20E-08,0.0020571,9.89E-07
8.20E-08,0.0015568,6.02E-07
8.20E-08,7.34E-04,-2.11E-06
8.21E-08,-3.63E-04,-4.20E-06
8.21E-08,-0.0012675,-1.26E-06
8.21E-08,-0.0015206,-9.85E-07
8.21E-08,-9.93E-04,-1.94E-06
8.21E-08,-3.20E-05,-2.89E-06
8.21E-08,4.82E-04,-4.21E-06
8.21E-08,3.85E-04,-4.35E-06
